timestamp,match_id,player1_ai,player2_ai,winner,total_moves,moves_sequence
2025-05-18 19:16:47,0,Easy,Medium,Player1,7,P1:4;P2:3;P1:4;P2:7;P1:4;P2:2;P1:4
2025-05-18 19:16:47,1,Medium,Easy,Player2,26,P1:5;P2:5;P1:5;P2:4;P1:1;P2:4;P1:6;P2:6;P1:6;P2:4;P1:4;P2:5;P1:2;P2:2;P1:6;P2:6;P1:2;P2:1;P1:2;P2:2;P1:5;P2:2;P1:5;P2:4;P1:7;P2:7
2025-05-18 19:16:47,2,Easy,Medium,Player1,7,P1:4;P2:2;P1:5;P2:7;P1:3;P2:1;P1:6
2025-05-18 19:16:47,3,Medium,Easy,Player2,28,P1:5;P2:5;P1:5;P2:4;P1:5;P2:4;P1:4;P2:2;P1:2;P2:1;P1:3;P2:3;P1:7;P2:2;P1:3;P2:7;P1:5;P2:4;P1:1;P2:5;P1:4;P2:4;P1:7;P2:7;P1:2;P2:2;P1:1;P2:1
2025-05-18 19:16:47,4,Easy,Medium,Player1,7,P1:4;P2:4;P1:3;P2:1;P1:5;P2:3;P1:6
2025-05-18 19:16:47,5,Medium,Easy,Player2,8,P1:1;P2:4;P1:1;P2:5;P1:7;P2:3;P1:2;P2:6
2025-05-18 19:16:47,6,Easy,Medium,Player1,7,P1:4;P2:5;P1:4;P2:1;P1:4;P2:1;P1:4
2025-05-18 19:16:47,7,Medium,Easy,Player2,10,P1:5;P2:5;P1:6;P2:4;P1:3;P2:4;P1:2;P2:3;P1:2;P2:6
2025-05-18 19:16:47,8,Easy,Medium,Player1,7,P1:4;P2:2;P1:5;P2:7;P1:3;P2:1;P1:6
2025-05-18 19:16:47,9,Medium,Easy,Player2,8,P1:2;P2:4;P1:1;P2:5;P1:4;P2:6;P1:3;P2:7
2025-05-18 19:16:47,10,Easy,Hard,Player2,16,P1:4;P2:4;P1:3;P2:5;P1:1;P2:2;P1:3;P2:3;P1:4;P2:4;P1:3;P2:5;P1:5;P2:2;P1:2;P2:2
2025-05-18 19:16:47,11,Hard,Easy,Player2,14,P1:3;P2:3;P1:3;P2:4;P1:3;P2:4;P1:5;P2:5;P1:5;P2:4;P1:4;P2:5;P1:2;P2:2
2025-05-18 19:16:47,12,Easy,Hard,Player2,16,P1:4;P2:4;P1:3;P2:5;P1:1;P2:2;P1:3;P2:3;P1:4;P2:4;P1:3;P2:5;P1:5;P2:2;P1:2;P2:2
2025-05-18 19:16:47,13,Hard,Easy,Player2,14,P1:3;P2:3;P1:3;P2:4;P1:3;P2:4;P1:5;P2:5;P1:5;P2:4;P1:4;P2:5;P1:2;P2:2
2025-05-18 19:16:47,14,Easy,Hard,Player2,16,P1:4;P2:4;P1:3;P2:5;P1:1;P2:2;P1:3;P2:3;P1:4;P2:4;P1:3;P2:5;P1:5;P2:2;P1:2;P2:2
2025-05-18 19:16:47,15,Hard,Easy,Player2,14,P1:3;P2:3;P1:3;P2:4;P1:3;P2:4;P1:5;P2:5;P1:5;P2:4;P1:4;P2:5;P1:2;P2:2
2025-05-18 19:16:47,16,Easy,Hard,Player2,16,P1:4;P2:4;P1:3;P2:5;P1:1;P2:2;P1:3;P2:3;P1:4;P2:4;P1:3;P2:5;P1:5;P2:2;P1:2;P2:2
2025-05-18 19:16:47,17,Hard,Easy,Player2,14,P1:3;P2:3;P1:3;P2:4;P1:3;P2:4;P1:5;P2:5;P1:5;P2:4;P1:4;P2:5;P1:2;P2:2
